"treatment"	"species"	"richness"	"year"	"Omega"	"theta"	"feasibility"	"differential"	"overlap"	"coex_rate"	"indirect_effects"
"48"	"control"	"Hp_Fr_Pt"	3	2020	0.199233722476184	8.89271092103395	1	0.176	0	0.333333333333333	0.666666666666667
"49"	"control"	"Hp_Fr_Am"	3	2020	0.0129573818020912	9.66655620625602	0	0.008	0	0.333333333333333	-0.333333333333333
"50"	"control"	"Hp_Fr_Cj"	3	2020	0.00327389027557666	5.04779092352823	0	0.002	0	0.333333333333333	-0.333333333333333
"51"	"control"	"Hp_Fr_Cb"	3	2020	0.030647618719954	42.751392217475	0	0.002	0	0	0
"52"	"control"	"Hp_Fr_To"	3	2020	0.00922057991854132	4.81949170327787	0	0.001	0	0.666666666666667	-0.666666666666667
"53"	"control"	"Hp_Fr_Dc"	3	2020	0.0554097620407311	10.1389054368132	0	0.059	0	0.666666666666667	-0.666666666666667
"54"	"control"	"Hp_Fr_Sp"	3	2020	0.0195860099466283	5.69641289312152	0	0.015	0	0.333333333333333	-0.333333333333333
"55"	"control"	"Hp_Fr_Pg"	3	2020	0.0121445458997636	12.5211781732443	0	0.012	0	0	0
"56"	"control"	"Hp_Fr_Ra"	3	2020	0.0230325209563167	21.3758549418448	0	0.012	0	0.333333333333333	-0.333333333333333
"57"	"control"	"Hp_Fr_Pm"	3	2020	0.0140664100693519	5.79825862510168	1	0.02	0	0.666666666666667	0.333333333333333
"58"	"control"	"Hp_Fr_Ga"	3	2020	0.0447584981998548	12.5708085631933	0	0.041	0	0.666666666666667	-0.666666666666667
"59"	"control"	"Hp_Hl_Lp"	3	2020	0.00203816758703495	13.9822411040567	0	-0.002	0	0	0
"60"	"control"	"Hp_Hl_Pt"	3	2020	0.0882922681039951	15.0054012052453	0	-0.004	0.091	0.333333333333333	-0.333333333333333
"61"	"control"	"Hp_Hl_Am"	3	2020	0.0259497933068432	15.496449409643	0	-0.005	0.028	0.333333333333333	-0.333333333333333
"62"	"control"	"Hp_Hl_Cj"	3	2020	0.036496001449366	20.4835954752614	0	-0.024	0.041	0.333333333333333	-0.333333333333333
"63"	"control"	"Hp_Hl_Cb"	3	2020	0.020809455230518	28.1464201296392	0	0.004	0	0	0
"64"	"control"	"Hp_Hl_To"	3	2020	0.050475891418449	15.1427663592776	0	-0.033	0.062	0.666666666666667	-0.666666666666667
"65"	"control"	"Hp_Hl_Dc"	3	2020	0.0968005828244737	4.54162688567363	1	0.044	0.039	0.666666666666667	0.333333333333333
