"treatment"	"species"	"richness"	"year"	"Omega"	"theta"	"feasibility"	"differential"	"overlap"	"coex_rate"	"indirect_effects"
"209"	"control"	"Be_Pt_Ra"	3	2020	2.05670984284918	45.4501650217693	0	0.264	0	0.666666666666667	-0.666666666666667
"210"	"control"	"Be_Pt_Pm"	3	2020	0.429427164109402	12.6992866321414	1	0.078	0.304	1	0
"211"	"control"	"Be_Pt_Ga"	3	2020	0.294724056408523	12.0966113048078	1	-0.041	0.115	1	0
"212"	"control"	"Be_Am_Cj"	3	2020	0.0256262557023074	7.84471580076009	0	-0.001	0.012	0.666666666666667	-0.666666666666667
"213"	"control"	"Be_Am_Cb"	3	2020	0.00523398139506437	18.0709176968932	0	0.01	0.003	0.333333333333333	-0.333333333333333
"214"	"control"	"Be_Am_To"	3	2020	0.238103457711688	23.4356922313025	1	0.123	0.063	0.666666666666667	0.333333333333333
"215"	"control"	"Be_Am_Dc"	3	2020	0.234368518488589	15.1794874460807	0	-0.086	0.137	1	-1
"216"	"control"	"Be_Am_Sp"	3	2020	0.0535635238902438	13.0397922655529	0	0.051	0.007	0.666666666666667	-0.666666666666667
"217"	"control"	"Be_Am_Pg"	3	2020	0.136371538105429	9.4007862456523	1	0.152	0.005	0.666666666666667	0.333333333333333
"218"	"control"	"Be_Am_Ra"	3	2020	0.0615008156783474	39.5595881052796	0	-0.012	0.003	0.666666666666667	-0.666666666666667
"219"	"control"	"Be_Am_Pm"	3	2020	0.0480572835985789	16.1753563356411	0	-0.024	0.021	0.666666666666667	-0.666666666666667
"220"	"control"	"Be_Am_Ga"	3	2020	0.266359708947415	10.8421738750109	1	0.229	0.013	0.666666666666667	0.333333333333333
"221"	"control"	"Be_Cj_Cb"	3	2020	0.0165755756323667	23.472165521575	0	0.017	0	0	0
"222"	"control"	"Be_Cj_To"	3	2020	0.0245542803479895	18.7856796918557	0	0.023	0	0	0
"223"	"control"	"Be_Cj_Dc"	3	2020	0.0932611891518419	17.1807192892962	0	-0.014	0.015	0.666666666666667	-0.666666666666667
"224"	"control"	"Be_Cj_Sp"	3	2020	0.00316261261876108	8.63891645273116	0	-0.007	0	0.333333333333333	-0.333333333333333
"225"	"control"	"Be_Cj_Pg"	3	2020	0.00488264265382944	8.77180538128562	0	0.006	0	0.333333333333333	-0.333333333333333
"226"	"control"	"Be_Cj_Ra"	3	2020	0.242039385342144	45.6516254552767	0	0.036	0.004	0.333333333333333	-0.333333333333333
"227"	"control"	"Be_Cj_Pm"	3	2020	0.0492427043716597	17.3859360803201	0	0.037	0.003	0.333333333333333	-0.333333333333333
"228"	"control"	"Be_Cj_Ga"	3	2020	0.0130165757460015	14.3949273497661	0	-0.015	0.003	0.333333333333333	-0.333333333333333
"229"	"control"	"Be_Cb_To"	3	2020	0.224743594521263	22.5898059794502	1	0.149	0.02	0.333333333333333	0.666666666666667
"230"	"control"	"Be_Cb_Dc"	3	2020	0.149242958516767	37.6508004115559	0	0.005	0.043	0.666666666666667	-0.666666666666667
"231"	"control"	"Be_Cb_Sp"	3	2020	0.0779809894748311	32.2364690059939	0	0.037	0.007	0.333333333333333	-0.333333333333333
"232"	"control"	"Be_Cb_Pg"	3	2020	0.0271316789281563	14.19737821568	0	0.006	0.012	0.666666666666667	-0.666666666666667
"233"	"control"	"Be_Cb_Ra"	3	2020	1.40263872303887	58.6789559581074	0	0.181	0	0.333333333333333	-0.333333333333333
"234"	"control"	"Be_Cb_Pm"	3	2020	0.0933922933046975	8.24852848349991	1	0.094	0.009	0.333333333333333	0.666666666666667
"235"	"control"	"Be_Cb_Ga"	3	2020	0.110942007155353	26.9748935098497	0	0.056	0.01	0.333333333333333	-0.333333333333333
"236"	"control"	"Be_To_Dc"	3	2020	0.955515582046944	25.2134710188393	1	0.315	0.287	0.666666666666667	0.333333333333333
"237"	"control"	"Be_To_Sp"	3	2020	0.0940795161000212	14.386884258982	1	0.088	0	0.333333333333333	0.666666666666667
"238"	"control"	"Be_To_Pg"	3	2020	0.0854954128481764	11.0798102950264	0	0.074	0	0.333333333333333	-0.333333333333333
"239"	"control"	"Be_To_Ra"	3	2020	2.23627898440613	78.5830372069178	0	0.126	0	0.333333333333333	-0.333333333333333
"240"	"control"	"Be_To_Pm"	3	2020	0.39530876925196	23.8489976115025	1	0.12	0.095	0.666666666666667	0.333333333333333
"241"	"control"	"Be_To_Ga"	3	2020	0.263227420958754	30.0086837935524	0	0.197	0.016	0.333333333333333	-0.333333333333333
"242"	"control"	"Be_Dc_Sp"	3	2020	0.343989780611075	29.0814568227742	0	0.099	0.158	0.666666666666667	-0.666666666666667
"243"	"control"	"Be_Dc_Pg"	3	2020	0.969745014645273	18.4845597989724	1	0.0620000000000001	0.516	1	0
"244"	"control"	"Be_Dc_Ra"	3	2020	3.91721327151708	7.27242820430566	1	0.523	0.064	0.666666666666667	0.333333333333333
"245"	"control"	"Be_Dc_Pm"	3	2020	0.381287494884634	27.1603647338708	0	-0.133	0.155	1	-1
"246"	"control"	"Be_Dc_Ga"	3	2020	0.730982995828631	13.9713877114721	1	0.639	0	0.666666666666667	0.333333333333333
"247"	"control"	"Be_Sp_Pg"	3	2020	0.0526745868848773	8.23722216616928	0	-0.036	0.029	0.666666666666667	-0.666666666666667
"248"	"control"	"Be_Sp_Ra"	3	2020	1.71441832992572	45.9009943045801	0	0.086	0.049	0.666666666666667	-0.666666666666667
"249"	"control"	"Be_Sp_Pm"	3	2020	0.0489365491724321	11.806213412368	0	0.047	0.002	0.666666666666667	-0.666666666666667
"250"	"control"	"Be_Sp_Ga"	3	2020	0.0874689351684028	19.4855130674337	0	-0.174	0.063	0.666666666666667	-0.666666666666667
"251"	"control"	"Be_Pg_Ra"	3	2020	2.16337993551291	38.5143624657313	0	0.268	0	0.666666666666667	-0.666666666666667
"252"	"control"	"Be_Pg_Pm"	3	2020	0.175183180347354	4.52307914623974	1	0.148	0.022	0.666666666666667	0.333333333333333
"253"	"control"	"Be_Pg_Ga"	3	2020	0.130735721929479	19.835498942953	0	0.106	0	0.666666666666667	-0.666666666666667
"254"	"control"	"Be_Ra_Pm"	3	2020	2.91103252680249	34.9813841575597	1	0.332	0.114	0.666666666666667	0.333333333333333
"255"	"control"	"Be_Ra_Ga"	3	2020	0.0405850498310013	17.7449059185137	0	-0.407	0.007	1	-1
"256"	"control"	"Be_Pm_Ga"	3	2020	0.336174210502639	13.5324538763488	1	0.135	0.072	0.666666666666667	0.333333333333333
"257"	"control"	"Ao_Dg_Fr"	3	2020	0.0246589076062646	14.1780891366889	0	0.028	0	0.333333333333333	-0.333333333333333
"258"	"control"	"Ao_Dg_Hl"	3	2020	0.0138524073074399	17.0059724841693	0	-0.001	0.001	0.666666666666667	-0.666666666666667
"259"	"control"	"Ao_Dg_Lp"	3	2020	0.314345030696187	37.296613659511	0	-0.092	0.171	1	-1
"260"	"control"	"Ao_Dg_Pt"	3	2020	0.0925379331367176	41.9803654945164	0	-0.13	0.008	1	-1
"261"	"control"	"Ao_Dg_Am"	3	2020	0.157437466360527	13.6300848646469	1	0	0.114	1	0
"262"	"control"	"Ao_Dg_Cj"	3	2020	0.00267341001238921	8.67022755809098	0	-0.009	0	0.666666666666667	-0.666666666666667
"263"	"control"	"Ao_Dg_Cb"	3	2020	0.0681180129559488	19.8626833676926	0	0.075	0	0.333333333333333	-0.333333333333333
"264"	"control"	"Ao_Dg_To"	3	2020	0.117696214438911	12.9782131355898	1	0.002	0.085	1	0
"265"	"control"	"Ao_Dg_Dc"	3	2020	0.0736035837962613	10.3662784630039	1	-0.013	0.053	0.666666666666667	0.333333333333333
"266"	"control"	"Ao_Dg_Sp"	3	2020	0.112683091056531	11.0179932818222	0	0.102	0.006	1	-1
"267"	"control"	"Ao_Dg_Pg"	3	2020	0.0276899956204989	8.15379723883823	0	0.026	0.002	0.666666666666667	-0.666666666666667
"268"	"control"	"Ao_Dg_Ra"	3	2020	0.21295878308825	39.3471639959511	0	0.045	0	0.333333333333333	-0.333333333333333
"269"	"control"	"Ao_Dg_Pm"	3	2020	0.026631552019631	10.6633326001182	0	0.022	0	0.666666666666667	-0.666666666666667
"270"	"control"	"Ao_Dg_Ga"	3	2020	0.0286576601822525	26.2128183268819	0	0.013	0	0.333333333333333	-0.333333333333333
"271"	"control"	"Ao_Fr_Hl"	3	2020	0.0797940759716119	19.005244292833	0	0.01	0.041	0.666666666666667	-0.666666666666667
"272"	"control"	"Ao_Fr_Lp"	3	2020	0.0818549361634303	27.983690039831	0	-0.048	0.033	0.666666666666667	-0.666666666666667
"273"	"control"	"Ao_Fr_Pt"	3	2020	0.0900938303490037	41.3320107048483	0	-0.085	0.009	0.666666666666667	-0.666666666666667
"274"	"control"	"Ao_Fr_Am"	3	2020	0.0559540500295211	21.6817304854781	0	-0.019	0.029	0.666666666666667	-0.666666666666667
"275"	"control"	"Ao_Fr_Cj"	3	2020	0.019070563615351	14.9768935928668	0	0.016	0	0.333333333333333	-0.333333333333333
"276"	"control"	"Ao_Fr_Cb"	3	2020	0.0192287746912921	34.3039376051357	0	0	0.003	0	0
"277"	"control"	"Ao_Fr_To"	3	2020	0.142453085772404	10.5024904593476	0	0.142	0.006	0.666666666666667	-0.666666666666667
"278"	"control"	"Ao_Fr_Dc"	3	2020	0.0455993880039538	27.9337363063101	0	-0.048	0.009	0.666666666666667	-0.666666666666667
"279"	"control"	"Ao_Fr_Sp"	3	2020	0.0160954450408181	8.36388499598993	1	0.018	0	0.666666666666667	0.333333333333333
"280"	"control"	"Ao_Fr_Pg"	3	2020	0.0331633402317362	8.69035314292972	0	0.014	0.01	0.333333333333333	-0.333333333333333
"281"	"control"	"Ao_Fr_Ra"	3	2020	0.237512676424653	41.0892569962124	0	0.063	0	0.333333333333333	-0.333333333333333
"282"	"control"	"Ao_Fr_Pm"	3	2020	0.0619661335958696	25.1811565611989	0	-0.00899999999999999	0.051	0.666666666666667	-0.666666666666667
"283"	"control"	"Ao_Fr_Ga"	3	2020	0.0887345903042703	21.1209685997806	0	0.013	0.012	0.333333333333333	-0.333333333333333
"284"	"control"	"Ao_Hl_Lp"	3	2020	0.0976746526278499	29.970838367478	0	-0.076	0.028	0.666666666666667	-0.666666666666667
"285"	"control"	"Ao_Hl_Pt"	3	2020	0.246305257211889	17.1159452316465	0	0.051	0.147	1	-1
"286"	"control"	"Ao_Hl_Am"	3	2020	0.105102069941174	12.6513435799344	0	-0.033	0.055	1	-1
"287"	"control"	"Ao_Hl_Cj"	3	2020	0.117833036862422	19.3226681320373	0	-0.068	0.099	0.666666666666667	-0.666666666666667
"288"	"control"	"Ao_Hl_Cb"	3	2020	0.0349168300105179	14.3820613284935	0	0.025	0.006	0.333333333333333	-0.333333333333333
"289"	"control"	"Ao_Hl_To"	3	2020	0.125726099412484	10.6329721612572	1	-0.001	0.109	1	0
"290"	"control"	"Ao_Hl_Dc"	3	2020	0.193776234462392	7.01675213863196	1	0.00800000000000001	0.147	1	0
"291"	"control"	"Ao_Hl_Sp"	3	2020	0.00649043042088027	1.91994857490314	0	-0.008	0.005	1	-1
"292"	"control"	"Ao_Hl_Pg"	3	2020	0.00330671509313376	15.2640019663444	0	-0.001	0.003	0.666666666666667	-0.666666666666667
"293"	"control"	"Ao_Hl_Ra"	3	2020	0.0870884601900637	48.4181091713609	0	0.005	0	0.333333333333333	-0.333333333333333
"294"	"control"	"Ao_Hl_Pm"	3	2020	0.100910651719029	17.1764093070991	0	-0.038	0.112	0.666666666666667	-0.666666666666667
"295"	"control"	"Ao_Hl_Ga"	3	2020	0.0414073405982377	20.8250405655569	0	-0.028	0.007	0.333333333333333	-0.333333333333333
"296"	"control"	"Ao_Lp_Pt"	3	2020	0.356140197350439	44.3970078906175	0	-0.056	0.083	1	-1
"297"	"control"	"Ao_Lp_Am"	3	2020	0.701978659367058	23.6036094076778	1	-0.021	0.363	1	0
"298"	"control"	"Ao_Lp_Cj"	3	2020	0.140361554542191	22.0083865790476	0	-0.065	0.024	1	-1
"299"	"control"	"Ao_Lp_Cb"	3	2020	0.174715719156971	35.4798376358643	0	-0.01	0.016	0.333333333333333	-0.333333333333333
"300"	"control"	"Ao_Lp_To"	3	2020	0.0373570180235812	20.9996180742439	0	-0.02	0	1	-1
"301"	"control"	"Ao_Lp_Dc"	3	2020	0.496234571664222	54.0813516306514	0	-0.189	0.108	1	-1
"302"	"control"	"Ao_Lp_Sp"	3	2020	0.0103979417878121	9.64059398361214	1	0.002	0	0.666666666666667	0.333333333333333
"303"	"control"	"Ao_Lp_Pg"	3	2020	0.0916301298357736	1.7721583174094	1	0.059	0	0.666666666666667	0.333333333333333
"304"	"control"	"Ao_Lp_Ra"	3	2020	0.190024271369119	83.4785680837917	0	0.007	0	0.333333333333333	-0.333333333333333
"305"	"control"	"Ao_Lp_Pm"	3	2020	0.255026421919873	23.0572821749443	1	-0.066	0.108	1	0
"306"	"control"	"Ao_Lp_Ga"	3	2020	0.421808500040771	9.93058013121476	1	0.174	0.079	0.333333333333333	0.666666666666667
"307"	"control"	"Ao_Pt_Am"	3	2020	0.189041951637226	25.6109278438196	0	-0.026	0.116	0.666666666666667	-0.666666666666667
"308"	"control"	"Ao_Pt_Cj"	3	2020	0.218471889676568	21.0686366504169	0	-0.00800000000000001	0.163	1	-1
"309"	"control"	"Ao_Pt_Cb"	3	2020	0.0428272546385258	36.640126211965	0	-0.007	0.012	0.333333333333333	-0.333333333333333
"310"	"control"	"Ao_Pt_To"	3	2020	0.238150065444707	10.8045633137267	1	0.231	0.017	1	0
"311"	"control"	"Ao_Pt_Dc"	3	2020	0.242945707694593	32.0035380958724	0	-0.118	0.12	1	-1
"312"	"control"	"Ao_Pt_Sp"	3	2020	0.0439463216157515	30.9196013365871	0	0.026	0.001	1	-1
"313"	"control"	"Ao_Pt_Pg"	3	2020	0.323632399985965	44.5283396676786	0	-0.236	0.118	1	-1
"314"	"control"	"Ao_Pt_Ra"	3	2020	0.40385823131969	65.2447805264099	0	0.092	0	0.333333333333333	-0.333333333333333
"315"	"control"	"Ao_Pt_Pm"	3	2020	0.232360429658686	25.765220850193	0	-0.034	0.169	1	-1
"316"	"control"	"Ao_Pt_Ga"	3	2020	0.236674602851253	8.52556744657634	1	0.112	0.023	0.666666666666667	0.333333333333333
"317"	"control"	"Ao_Am_Cj"	3	2020	0.189166112269873	12.2134048107692	1	0.012	0.158	1	0
"318"	"control"	"Ao_Am_Cb"	3	2020	0.0174753575054597	20.1673900443661	0	0.016	0.005	0.333333333333333	-0.333333333333333
"319"	"control"	"Ao_Am_To"	3	2020	0.210257925512647	10.7985537433719	1	0.12	0.075	1	0
"320"	"control"	"Ao_Am_Dc"	3	2020	0.267447590061327	16.968365259138	1	-0.05	0.235	1	0
"321"	"control"	"Ao_Am_Sp"	3	2020	0.0370473558486957	1.87049055084637	1	0.031	0	0.666666666666667	0.333333333333333
"322"	"control"	"Ao_Am_Pg"	3	2020	0.0394297501391849	8.6901322456928	0	0.034	0.004	0.666666666666667	-0.666666666666667
"323"	"control"	"Ao_Am_Ra"	3	2020	0.392276803042145	52.7043184651068	0	0.02	0	0.333333333333333	-0.333333333333333
"324"	"control"	"Ao_Am_Pm"	3	2020	0.0914862701333415	12.8652343098263	0	-0.017	0.07	0.666666666666667	-0.666666666666667
"325"	"control"	"Ao_Am_Ga"	3	2020	0.15829185409268	19.5892201356596	0	0.079	0.038	0.333333333333333	-0.333333333333333
"326"	"control"	"Ao_Cj_Cb"	3	2020	0.0338919083812989	23.5579076799311	0	0.015	0.01	0.333333333333333	-0.333333333333333
"327"	"control"	"Ao_Cj_To"	3	2020	0.0718432748661139	10.1456170633852	0	0.07	0.003	0.666666666666667	-0.666666666666667
"328"	"control"	"Ao_Cj_Dc"	3	2020	0.226668619758428	15.6380797495036	0	-0.048	0.215	1	-1
"329"	"control"	"Ao_Cj_Sp"	3	2020	0.0239392134679824	5.06223562533696	0	0.018	0	0.666666666666667	-0.666666666666667
"330"	"control"	"Ao_Cj_Pg"	3	2020	0.0816293028817692	13.9951281286744	0	0.068	0.011	0.666666666666667	-0.666666666666667
"331"	"control"	"Ao_Cj_Ra"	3	2020	0.306143984288219	55.225756550757	0	0.016	0	0.333333333333333	-0.333333333333333
"332"	"control"	"Ao_Cj_Pm"	3	2020	0.0172138197657558	10.5924815786163	0	-0.005	0.018	0.666666666666667	-0.666666666666667
"333"	"control"	"Ao_Cj_Ga"	3	2020	0.120748803060754	12.7174337698263	0	-0.011	0.018	0.333333333333333	-0.333333333333333
"334"	"control"	"Ao_Cb_To"	3	2020	0.109638187737935	5.14327066148004	1	0.121	0	0.666666666666667	0.333333333333333
"335"	"control"	"Ao_Cb_Dc"	3	2020	0.00491170907165147	32.2141029918997	0	-0.036	0.001	0.666666666666667	-0.666666666666667
"336"	"control"	"Ao_Cb_Sp"	3	2020	0.0219716851948595	33.4097078098725	0	0.002	0	0.333333333333333	-0.333333333333333
"337"	"control"	"Ao_Cb_Pg"	3	2020	0.00146343886639077	10.4544248280315	0	0.001	0	0.666666666666667	-0.666666666666667
"338"	"control"	"Ao_Cb_Ra"	3	2020	0.0626482898529752	71.3864831114048	0	0	0	0	0
"339"	"control"	"Ao_Cb_Pm"	3	2020	0.00779867879422227	25.5663475953566	0	0.003	0.001	0.333333333333333	-0.333333333333333
"340"	"control"	"Ao_Cb_Ga"	3	2020	0.0946168380533519	52.1755389654333	0	-0.007	0.006	0	0
"341"	"control"	"Ao_To_Dc"	3	2020	0.174927091198506	12.9488906514218	1	-0.014	0.148	1	0
"342"	"control"	"Ao_To_Sp"	3	2020	0.015635977134877	16.8172151908907	1	0.017	0	0.666666666666667	0.333333333333333
"343"	"control"	"Ao_To_Pg"	3	2020	0.0521296092340735	29.0911146809491	0	-0.00700000000000001	0.061	0.666666666666667	-0.666666666666667
"344"	"control"	"Ao_To_Ra"	3	2020	0.390524635761468	61.3416772095702	0	0	0	0.333333333333333	-0.333333333333333
"345"	"control"	"Ao_To_Pm"	3	2020	0.166494979288269	14.0123789154376	1	0.085	0.075	1	0
"346"	"control"	"Ao_To_Ga"	3	2020	0.103602341450676	29.5530078760098	0	0.021	0.041	0.333333333333333	-0.333333333333333
"347"	"control"	"Ao_Dc_Sp"	3	2020	0.00477233773796228	13.7468612276316	0	-0.003	0	0.666666666666667	-0.666666666666667
"348"	"control"	"Ao_Dc_Pg"	3	2020	0.111409715677993	28.6229540853279	0	-0.295	0.019	1	-1
"349"	"control"	"Ao_Dc_Ra"	3	2020	0.111167899297332	60.2606645738763	0	0.001	0	0.333333333333333	-0.333333333333333
"350"	"control"	"Ao_Dc_Pm"	3	2020	0.214786800664517	16.0550086922083	1	0.081	0.122	1	0
"351"	"control"	"Ao_Dc_Ga"	3	2020	0.0493424362068357	30.0508441749048	0	0.032	0	0.333333333333333	-0.333333333333333
"352"	"control"	"Ao_Sp_Pg"	3	2020	0.0668045457938178	18.1370415482117	0	0.052	0.001	0.666666666666667	-0.666666666666667
"353"	"control"	"Ao_Sp_Ra"	3	2020	0.155264542515509	58.3951287176808	0	0.005	0	0.333333333333333	-0.333333333333333
"354"	"control"	"Ao_Sp_Pm"	3	2020	0.0626955171308572	4.22875699124646	0	0.072	0	0.666666666666667	-0.666666666666667
"355"	"control"	"Ao_Sp_Ga"	3	2020	0.0170518583767026	25.4555292621898	0	0.014	0	0.333333333333333	-0.333333333333333
"356"	"control"	"Ao_Pg_Ra"	3	2020	0.265514582508386	47.3692351302248	1	0.1	0	0.333333333333333	0.666666666666667
"357"	"control"	"Ao_Pg_Pm"	3	2020	0.134782339058891	13.4053923100016	0	0.11	0.022	0.666666666666667	-0.666666666666667
"358"	"control"	"Ao_Pg_Ga"	3	2020	0.252253696771682	28.0712334174206	0	0.103	0	0.333333333333333	-0.333333333333333
"359"	"control"	"Ao_Ra_Pm"	3	2020	0.0779321486853259	63.6199092124429	0	0.008	0	0.333333333333333	-0.333333333333333
"360"	"control"	"Ao_Ra_Ga"	3	2020	0.735619608479616	20.9070893728756	1	0.512	0	0.333333333333333	0.666666666666667
"361"	"control"	"Ao_Pm_Ga"	3	2020	0.160080820238067	16.9517187808118	0	0.031	0.058	0.333333333333333	-0.333333333333333
"362"	"control"	"Dg_Fr_Hl"	3	2020	0.130053709032233	4.59135442940269	1	0.129	0.004	0.333333333333333	0.666666666666667
"363"	"control"	"Dg_Fr_Lp"	3	2020	0.0634576859775382	13.3943948577089	0	0.016	0.03	0.666666666666667	-0.666666666666667
"364"	"control"	"Dg_Fr_Pt"	3	2020	0.107400606342581	28.4182497215294	0	-0.016	0	0.666666666666667	-0.666666666666667
"365"	"control"	"Dg_Fr_Am"	3	2020	0.0389943524913678	11.6905242596438	0	-0.002	0.037	0.666666666666667	-0.666666666666667
"366"	"control"	"Dg_Fr_Cj"	3	2020	0.00687942049124603	16.9642591123624	0	0.005	0	0	0
"367"	"control"	"Dg_Fr_Cb"	3	2020	0.0435518493587541	24.9181277792974	0	0.029	0	0	0
"368"	"control"	"Dg_Fr_To"	3	2020	0.05006328012217	15.3750138442215	0	-0.023	0.036	0.666666666666667	-0.666666666666667
"369"	"control"	"Dg_Fr_Dc"	3	2020	0.14917121559676	3.93916279780258	1	0.084	0.01	0.333333333333333	0.666666666666667
"370"	"control"	"Dg_Fr_Sp"	3	2020	0.0135169333191762	10.919085598498	0	-0.02	0.005	0.666666666666667	-0.666666666666667
"371"	"control"	"Dg_Fr_Pg"	3	2020	0.00924643282032681	18.7516847223092	0	0.002	0	0	0
"372"	"control"	"Dg_Fr_Ra"	3	2020	0.141206446152624	21.3950049445283	0	0.06	0.019	0.333333333333333	-0.333333333333333
"373"	"control"	"Dg_Fr_Pm"	3	2020	0.0470500268314097	8.60355375642235	0	0.049	0.002	0.333333333333333	-0.333333333333333
"374"	"control"	"Dg_Fr_Ga"	3	2020	0.231904815404156	17.2985214905009	1	0.212	0	0.333333333333333	0.666666666666667
"375"	"control"	"Dg_Hl_Lp"	3	2020	0.0226028728302282	28.4696971085519	0	0.004	0.005	0.333333333333333	-0.333333333333333
"376"	"control"	"Dg_Hl_Pt"	3	2020	0.0338575082266756	22.5224011117005	0	-0.005	0.022	0.666666666666667	-0.666666666666667
"377"	"control"	"Dg_Hl_Am"	3	2020	0.0127325308209318	20.4331607003142	0	0.003	0.01	0.666666666666667	-0.666666666666667
"378"	"control"	"Dg_Hl_Cj"	3	2020	0.0148135214256544	20.1387626650951	0	0.022	0.002	0	0
"379"	"control"	"Dg_Hl_Cb"	3	2020	0.00524398330886153	25.1014339824138	0	0	0.004	0	0
"380"	"control"	"Dg_Hl_To"	3	2020	0.0178987049211363	20.9349856960587	0	-0.004	0.008	0.666666666666667	-0.666666666666667
"381"	"control"	"Dg_Hl_Dc"	3	2020	0.0321386798808028	12.0718685292731	0	0.011	0.005	0.333333333333333	-0.333333333333333
"382"	"control"	"Dg_Hl_Sp"	3	2020	0.0521266635834639	5.62921153640572	1	0.053	0.003	0.666666666666667	0.333333333333333
"383"	"control"	"Dg_Hl_Pg"	3	2020	0.000264892783161776	22.6888229847546	0	0	0	0	0
"384"	"control"	"Dg_Hl_Ra"	3	2020	0.224123123428741	26.4303536613096	0	0.062	0.002	0	0
"385"	"control"	"Dg_Hl_Pm"	3	2020	0.00958397684442037	19.8137849222618	0	0.008	0	0	0
"386"	"control"	"Dg_Hl_Ga"	3	2020	0.00105754964788071	31.1650116751676	0	0.002	0	0	0
"387"	"control"	"Dg_Lp_Pt"	3	2020	1.78204132417387	33.4529554291025	1	0.19	0.474	1	0
"388"	"control"	"Dg_Lp_Am"	3	2020	0.3717145010177	13.726004898343	1	-0.077	0.28	1	0
"389"	"control"	"Dg_Lp_Cj"	3	2020	0.0444558442154121	22.2759513805181	0	0.037	0.003	0.666666666666667	-0.666666666666667
"390"	"control"	"Dg_Lp_Cb"	3	2020	0.0869287100327262	12.9614245925898	0	0.073	0	0.333333333333333	-0.333333333333333
"391"	"control"	"Dg_Lp_To"	3	2020	0.0655248832671824	15.1215681811912	0	0.015	0.005	1	-1
"392"	"control"	"Dg_Lp_Dc"	3	2020	0.33520665555427	40.2042282741301	1	-0.081	0.082	0.666666666666667	0.333333333333333
"393"	"control"	"Dg_Lp_Sp"	3	2020	0.268015698967305	11.9913974038859	1	0.22	0.031	0.666666666666667	0.333333333333333
"394"	"control"	"Dg_Lp_Pg"	3	2020	0.0546273685272822	13.5901426467755	0	0.046	0	0.333333333333333	-0.333333333333333
"395"	"control"	"Dg_Lp_Ra"	3	2020	0.879713226191791	55.2324034514007	0	0.262	0.044	0.333333333333333	-0.333333333333333
"396"	"control"	"Dg_Lp_Pm"	3	2020	0.0171691800310203	20.3726493836098	0	0.02	0.001	0.666666666666667	-0.666666666666667
"397"	"control"	"Dg_Lp_Ga"	3	2020	0.369014777974975	20.5554987627519	0	0.328	0.001	0.333333333333333	-0.333333333333333
"398"	"control"	"Dg_Pt_Am"	3	2020	0.0500999293999529	40.7474246275789	0	-0.133	0.007	0.666666666666667	-0.666666666666667
"399"	"control"	"Dg_Pt_Cj"	3	2020	0.0606904528466041	21.7247583154963	0	0.037	0.006	0.666666666666667	-0.666666666666667
"400"	"control"	"Dg_Pt_Cb"	3	2020	0.0184394756648389	3.94924878255402	0	-0.014	0.001	0.333333333333333	-0.333333333333333
"401"	"control"	"Dg_Pt_To"	3	2020	0.237043615385307	20.0165979989064	0	-0.04	0.047	1	-1
"402"	"control"	"Dg_Pt_Dc"	3	2020	0.507468329280363	35.2561671538663	1	0.031	0.227	0.666666666666667	0.333333333333333
"403"	"control"	"Dg_Pt_Sp"	3	2020	0.501784650981649	26.7714720745221	1	-0.104	0.264	1	0
"404"	"control"	"Dg_Pt_Pg"	3	2020	0.0383533810732267	49.3725713509095	0	0	0	0.666666666666667	-0.666666666666667
"405"	"control"	"Dg_Pt_Ra"	3	2020	0.386867360889103	69.5881270383526	0	0.024	0	0.333333333333333	-0.333333333333333
"406"	"control"	"Dg_Pt_Pm"	3	2020	0.0248818458870412	22.4557997817806	0	0.012	0.001	0.666666666666667	-0.666666666666667
"407"	"control"	"Dg_Pt_Ga"	3	2020	0.979878919629685	8.36071063321511	1	0.654	0.003	0.666666666666667	0.333333333333333
"408"	"control"	"Dg_Am_Cj"	3	2020	0.00877481222522049	13.4066836973758	0	-0.000999999999999999	0.002	0.666666666666667	-0.666666666666667
"409"	"control"	"Dg_Am_Cb"	3	2020	0.0204512566551818	17.9409222053902	0	0.028	0	0.333333333333333	-0.333333333333333
"410"	"control"	"Dg_Am_To"	3	2020	0.116733750437381	10.3268432744707	1	-0.063	0.115	1	0
"411"	"control"	"Dg_Am_Dc"	3	2020	0.132585482916385	9.80923769991767	0	-0.047	0.124	0.666666666666667	-0.666666666666667
"412"	"control"	"Dg_Am_Sp"	3	2020	0.099741316077718	10.2320122456988	0	0.087	0.009	0.666666666666667	-0.666666666666667
"413"	"control"	"Dg_Am_Pg"	3	2020	0.00798366585731042	14.8748712327279	0	0.007	0	0.333333333333333	-0.333333333333333
"414"	"control"	"Dg_Am_Ra"	3	2020	0.301876386543132	28.0509119962302	0	0.107	0.067	0.333333333333333	-0.333333333333333
"415"	"control"	"Dg_Am_Pm"	3	2020	0.00221974818312376	14.4855440982209	0	0.002	0	0.333333333333333	-0.333333333333333
"416"	"control"	"Dg_Am_Ga"	3	2020	0.0307041730773987	27.0232739533676	0	0.029	0	0.333333333333333	-0.333333333333333
"417"	"control"	"Dg_Cj_Cb"	3	2020	0.0428079019740918	25.4008142496619	0	0.046	0	0	0
"418"	"control"	"Dg_Cj_To"	3	2020	0.0318164801630971	19.6141533490426	0	0.021	0	0.333333333333333	-0.333333333333333
"419"	"control"	"Dg_Cj_Dc"	3	2020	0.0344913369341512	11.9904566466424	0	0.016	0.003	0.333333333333333	-0.333333333333333
